Parameter,Reference,Iteration,Value,Attribute,smirks,SMIRKS
n9,1.370482808197,7,1.388770647827,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,7,0.6278747292852,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,7,0.3000000000402,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,7,1.976108448675,rmin_half,[#6:1],[#6:1]
n15,1.908,7,1.903241761841,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,7,1.900995770621,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,7,1.71395172626,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,7,1.709017655095,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,7,1.678358669234,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,7,1.81572022045,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,7,1.860275018369,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,7,1.936136134716,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,8,1.478072841524,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,8,1.436124792764,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,8,1.296933820097,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,8,1.198749206811,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,8,1.418033219675,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,8,1.365390549048,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,8,1.383189395342,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,8,0.6328143463025,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,8,0.2999999999999,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,8,1.974255951096,rmin_half,[#6:1],[#6:1]
n15,1.908,8,1.906011946326,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,8,1.906498635161,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,8,1.716218883526,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,8,1.707967413373,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,8,1.678055568365,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,8,1.815864084174,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,8,1.857259085772,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,8,1.935606689079,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,9,1.476785506,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,9,1.440333743867,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,9,1.29627799313,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,9,1.1992568786,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,9,1.420410802045,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,9,1.359367897751,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,9,1.378313362207,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,9,0.6244596718002,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,9,0.3000000000007,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,9,1.977177883281,rmin_half,[#6:1],[#6:1]
n15,1.908,9,1.91282803256,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,9,1.905763815651,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,9,1.715895970247,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,9,1.713240036104,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,9,1.677365905809,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,9,1.814732965498,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,9,1.85873195238,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,9,1.933497423935,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,10,1.47566240719,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,10,1.437821420917,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,10,1.2971226544,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,10,1.1983991263,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,10,1.422313364745,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,10,1.377204951128,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,10,1.380161680177,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,10,0.6290781685002,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,10,0.3000000000202,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,10,1.972648607481,rmin_half,[#6:1],[#6:1]
n15,1.908,10,1.90240153941,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,10,1.911738200841,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,10,1.715105036667,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,10,1.708639501704,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,10,1.674909511929,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,10,1.818243332998,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,10,1.856140078799,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,10,1.933290460635,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,11,1.476979827918,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,11,1.43768592762,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,11,1.295270958408,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,11,1.196678430822,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,11,1.424169885538,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,11,1.380697595754,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,11,1.375397720605,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,11,0.6305999440305,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,11,0.3000000000033,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,11,1.974000107885,rmin_half,[#6:1],[#6:1]
n15,1.908,11,1.905981707222,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,11,1.913072148152,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,11,1.712828396448,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,11,1.717799384047,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,11,1.671868970089,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
