,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
45,dhmix_674882857451857086,308.15,100.0,Liquid,2,CN(C)C=O,Solvent,0.5118,,Cc1ccccc1Cl,Solvent,0.4882,,0.545,0.006,10.1016/j.jct.2013.12.006
46,dhmix_1670364528496870559,308.15,100.0,Liquid,2,CN(C)C=O,Solvent,0.7679,,Cc1ccccc1Cl,Solvent,0.2321,,0.436,0.005,10.1016/j.jct.2013.12.006
47,dhmix_1992689527814967541,308.15,100.0,Liquid,2,CN(C)C=O,Solvent,0.2743,,Cc1ccccc1Cl,Solvent,0.7257,,0.373,0.004,10.1016/j.jct.2013.12.006
48,dhmix_384619296407103076,298.15,101.0,Liquid,2,CC(=O)N(C)C,Solvent,0.504,,ClCCCCCCCl,Solvent,0.496,,0.09,0.002,10.1016/j.jct.2007.06.017
49,dhmix_1114659247517686326,298.15,101.0,Liquid,2,CC(=O)N(C)C,Solvent,0.798,,ClCCCCCCCl,Solvent,0.2019999999999999,,0.067,0.002,10.1016/j.jct.2007.06.017
50,dhmix_1410583096030633514,298.15,101.0,Liquid,2,CC(=O)N(C)C,Solvent,0.212,,ClCCCCCCCl,Solvent,0.788,,0.04,0.002,10.1016/j.jct.2007.06.017
51,dhmix_35301006695188726,303.15,100.0,Liquid,2,CCOC(=O)C(C)C,Solvent,0.289,,CO,Solvent,0.7110000000000001,,0.488,0.0035,10.1016/j.jct.2019.105884
52,dhmix_1951183536432642425,303.15,100.0,Liquid,2,CCOC(=O)C(C)C,Solvent,0.48,,CO,Solvent,0.52,,0.671,0.0045,10.1016/j.jct.2019.105884
53,dhmix_2200604492347455092,303.15,100.0,Liquid,2,CCOC(=O)C(C)C,Solvent,0.771,,CO,Solvent,0.2289999999999999,,0.632,0.0045,10.1016/j.jct.2019.105884
54,dhmix_39159150320919359,298.15,101.0,Liquid,2,CCO,Solvent,0.7997,,Cc1cccc(O)c1,Solvent,0.2003,,-0.79199,0.011965,10.1016/j.fluid.2017.09.008
55,dhmix_1115402835538407874,298.15,101.0,Liquid,2,CCO,Solvent,0.2125,,Cc1cccc(O)c1,Solvent,0.7875,,-0.68742,0.01275,10.1016/j.fluid.2017.09.008
56,dhmix_1871939727966182523,298.15,101.0,Liquid,2,CCO,Solvent,0.4139,,Cc1cccc(O)c1,Solvent,0.5861,,-1.14624,0.00985,10.1016/j.fluid.2017.09.008
57,dhmix_524477957640851666,308.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.2356,,c1ccccc1,Solvent,0.7644,,-0.3684,0.00405,10.1016/j.jct.2010.12.016
58,dhmix_1475629358723962160,308.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.5467,,c1ccccc1,Solvent,0.4533,,-0.4943,0.00535,10.1016/j.jct.2010.12.016
59,dhmix_2156508970935294660,308.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.7411,,c1ccccc1,Solvent,0.2589,,-0.3841,0.0042,10.1016/j.jct.2010.12.016
60,dhmix_44217680865702366,298.15,100.0,Liquid,2,CC(=O)c1ccccc1,Solvent,0.2001,,CC(C)O,Solvent,0.7999,,1.1352,0.0124,10.1021/je7006633
61,dhmix_1214494501247401592,298.15,100.0,Liquid,2,CC(=O)c1ccccc1,Solvent,0.4996,,CC(C)O,Solvent,0.5004,,1.5703,0.0169,10.1021/je7006633
62,dhmix_1482394504883204224,298.15,100.0,Liquid,2,CC(=O)c1ccccc1,Solvent,0.7006,,CC(C)O,Solvent,0.2994,,1.3758,0.01485,10.1021/je7006633
63,dhmix_47323681380989568,298.15,101.0,Liquid,2,CCCCCCCCCl,Solvent,0.498,,CN(C)C=O,Solvent,0.502,,1.087,0.0045,10.1016/j.jct.2007.01.017
64,dhmix_620291288515939248,298.15,101.0,Liquid,2,CCCCCCCCCl,Solvent,0.79,,CN(C)C=O,Solvent,0.21,,0.68,0.0045,10.1016/j.jct.2007.01.017
65,dhmix_2175249209874409534,298.15,101.0,Liquid,2,CCCCCCCCCl,Solvent,0.2049999999999999,,CN(C)C=O,Solvent,0.795,,0.79,0.0045,10.1016/j.jct.2007.01.017
66,dhmix_1440467239786579925,298.15,101.0,Liquid,2,BrCCCBr,Solvent,0.7354,,COC=O,Solvent,0.2646,,0.7435,0.00655,10.1016/j.jct.2006.05.004
67,dhmix_2252268161220427112,298.15,101.0,Liquid,2,BrCCCBr,Solvent,0.4852999999999999,,COC=O,Solvent,0.5147,,0.9249,0.00795,10.1016/j.jct.2006.05.004
