FF_ref,stat_ref,n_ref,mle_ref,stderr_ref,mean_ref,low_ref,high_ref,group,FF_tgt,stat_tgt,n_tgt,mle_tgt,stderr_tgt,mean_tgt,low_tgt,high_tgt,mle_diff,Change
Sage 2.2.1,RMSE,118614,0.0332960446733194,6.583181210017305e-05,0.0332937174956615,0.0331674886515804,0.0334210425753056,b4,v3-k100,RMSE,118614,0.0299141599298997,5.8963655012038753e-05,0.0299158488798835,0.0298019254281638,0.0300296024602804,-0.0033818847434196955,Improved
Sage 2.2.1,RMSE,3832,0.0497715293084322,0.0004280538138131,0.0497606481210086,0.0489370612315196,0.0505856465663282,b64,v3-k100,RMSE,3832,0.0474763543060955,0.0004450470444461,0.0474707726137376,0.0466431451334384,0.0483831750769287,-0.002295175002336697,Improved
Sage 2.2.1,RMSE,135153,0.0231867918323774,5.029946839178518e-05,0.0231892010359512,0.0230932595607524,0.0232920805932251,b14,v3-k100,RMSE,135153,0.0210690217152421,4.934754550254272e-05,0.0210675292998736,0.0209715973912494,0.0211669182419677,-0.002117770117135303,Improved
Sage 2.2.1,RMSE,30431,0.0225234732726093,6.505236440692824e-05,0.0225200471226845,0.0223943414470077,0.0226468568730235,b19,v3-k100,RMSE,30431,0.0205784540567635,6.336086225568454e-05,0.0205789181377899,0.0204526491683096,0.0207030759509325,-0.0019450192158457988,Improved
Sage 2.2.1,RMSE,21572,0.0208545931093421,0.0002351656921848,0.0208521846610145,0.0204350646318637,0.0213345238765766,b52,v3-k100,RMSE,21572,0.0194581198868985,0.0001953737999356,0.0194612150754081,0.0191032714070516,0.0198427479558187,-0.0013964732224436005,Improved
Sage 2.2.1,RMSE,69735,0.0208936430757124,6.414250432871804e-05,0.0208941249785545,0.0207752657991507,0.0210195500255653,b6,v3-k100,RMSE,69735,0.0195555404708083,5.104338050819348e-05,0.0195559682696323,0.0194592785102396,0.0196597077232015,-0.0013381026049041032,Improved
Sage 2.2.1,RMSE,4096652,0.0171084174187264,1.4925555478177236e-05,0.0171089426858482,0.0170804657302816,0.0171374438456979,All,v3-k100,RMSE,4096652,0.0159458769434025,1.6514995696087238e-05,0.0159452994729568,0.0159137037088214,0.0159782086043861,-0.0011625404753239019,Improved
Sage 2.2.1,RMSE,76675,0.0095358099895966,2.9364582451967488e-05,0.0095360189608086,0.0094813130207129,0.0095945158659526,b21,v3-k100,RMSE,76675,0.0086346329366678,3.435276199812924e-05,0.0086350916988818,0.00856546696803,0.008707055489877,-0.0009011770529287998,Improved
Sage 2.2.1,RMSE,31847,0.0114446345601878,9.484481157557564e-05,0.011443147944277,0.0112661723732345,0.0116368125057203,b59,v3-k100,RMSE,31847,0.0108500873644705,8.434687608675222e-05,0.0108451779301073,0.0106910783735207,0.0110075443121092,-0.0005945471957172991,Improved
Sage 2.2.1,RMSE,110662,0.0198886815072396,4.077234812162396e-05,0.0198887530045348,0.0198080027561493,0.0199643206206187,b12,v3-k100,RMSE,110662,0.0200824201097252,4.625222599017286e-05,0.0200828316110505,0.0199908393433384,0.0201770151546256,0.00019373860248560193,Worsened
Sage 2.2.1,RMSE,560750,0.0026622444162614,5.784425426175169e-06,0.0026621119312429,0.0026506401615972,0.0026743457726766,b85,v3-k100,RMSE,560750,0.0028957241311711,5.387140336927933e-06,0.0028957743598253,0.0028855991019202,0.0029061494999186,0.0002334797149097,Worsened
